RECEIVING_LOCATION,FULFILLING_LOCATION,VOLUME_WEIGHT_BUCKET,PACKAGE_PRODUCT_VOLUME_BUCKET,FACE_PANEL_BUCKET,TV_TYPE,TV_BRAND,TV_SIZE,WG_BG,Writeoff_Percent_Qty
Brampton,ON,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0142
Brampton,ON,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0315
Brampton,ON,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0145
Brampton,ON,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.007
Brampton,ON,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0024
Brampton,ON,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0657
Brampton,ON,g 12000-14000,f 1.0-1.5,d 1.04-1.06,LED,SONY,d 45-49,B,0.0176
Brampton,ON,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.017
Brampton,ON,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0066
Brampton,ON,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.058
Brampton,ON,f 10000-12000,e 0.8-1.0,f 1.08-1.10,LED,CHINA,a <30,B,0.0589
Brampton,ON,d 6000-8000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0084
Brampton,ON,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0239
Brampton,ON,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,LG,e 50-56,W,0.0105
Brampton,ON,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.0053
Brampton,ON,c 4000-6000,h 2.0-3.0,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.004
Indis,QC,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0366
Brampton,ON,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0158
KNN,AB,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0073
Brampton,ON,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,b 30-39,B,0.004
Brampton,ON,c 4000-6000,h 2.0-3.0,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0071
Brampton,ON,g 12000-14000,f 1.0-1.5,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0078
Brampton,ON,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0138
Brampton,ON,f 10000-12000,f 1.0-1.5,h 1.12-1.14,LED,SAMSUNG,a <30,B,0.0068
Brampton,ON,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,c 40-44,B,0.008
Langley,BC,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0083
Brampton,ON,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,SAMSUNG,e 50-56,B,0.0116
Brampton,ON,f 10000-12000,d 0.7-0.8,e 1.06-1.08,LED,LG,b 30-39,B,0.0032
Brampton,ON,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0.0098
Indis,QC,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0534
Brampton,ON,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,e 50-56,W,0.025
Indis,QC,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.0633
Brampton,ON,c 4000-6000,j >4.0,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0061
Indis,QC,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.0076
Brampton,ON,d 6000-8000,e 0.8-1.0,g 1.10-1.12,OTHER,CHINA,a <30,B,0.0673
Langley,BC,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.014
KNN,AB,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0294
Indis,QC,f 10000-12000,e 0.8-1.0,f 1.08-1.10,LED,CHINA,a <30,B,0.0522
KNN,AB,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0148
KNN,AB,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0034
Langley,BC,f 10000-12000,e 0.8-1.0,f 1.08-1.10,LED,CHINA,a <30,B,0.0375
KNN,AB,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.004
Indis,QC,d 6000-8000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0096
Brampton,ON,g 12000-14000,g 1.5-2.0,e 1.06-1.08,LED,LG,c 40-44,B,0.0064
Indis,QC,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.083
Langley,BC,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.0444
Langley,BC,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0532
Indis,QC,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.0219
Brampton,ON,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LED,SONY,f >=57,W,0.0143
Brampton,ON,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,B,0.0108
Brampton,ON,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,LG,b 30-39,B,0.0029
Brampton,ON,d 6000-8000,f 1.0-1.5,d 1.04-1.06,LCD,SONY,b 30-39,B,0.0019
Brampton,ON,h 14000-16000,f 1.0-1.5,g 1.10-1.12,PLASMA,SAMSUNG,f >=57,W,0.0103
Brampton,ON,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,e 50-56,W,0.0242
Indis,QC,c 4000-6000,h 2.0-3.0,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.0084
Brampton,ON,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.0058
Indis,QC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0311
Brampton,ON,j >18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0328
Langley,BC,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.0036
Indis,QC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.006
